feature_name,feature_type,modality,axis,domain,descriptor_family,magnetic_analysis_group,statistic,frequency_band,unit,source_feature,used_for_causal_centering,is_causal_derived,included_in_raw_representation,included_in_causal_representation,description
accy_std,base,accelerometer,y,time,variability,not_applicable,standard deviation,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of the acceleration Y axis.
accy_median,base,accelerometer,y,time,level_or_amplitude,not_applicable,median,,not_encoded_in_source_manifest,,True,False,True,False,median of the acceleration Y axis.
accy_iqr,base,accelerometer,y,time,variability,not_applicable,interquartile range,,not_encoded_in_source_manifest,,False,False,True,True,interquartile range of the acceleration Y axis.
accy_p95,base,accelerometer,y,time,level_or_amplitude,not_applicable,95th percentile,,not_encoded_in_source_manifest,,True,False,True,False,95th percentile of the acceleration Y axis.
accy_mad,base,accelerometer,y,time,variability,not_applicable,MAD statistic,,not_encoded_in_source_manifest,,False,False,True,True,MAD statistic of the acceleration Y axis.
accy_rms,base,accelerometer,y,time,level_or_amplitude,not_applicable,root mean square,,not_encoded_in_source_manifest,,False,False,True,True,root mean square of the acceleration Y axis.
accy_diff_mean,base,accelerometer,y,temporal_difference,dynamic,not_applicable,mean of first differences,,not_encoded_in_source_manifest,,False,False,True,True,mean of first differences of the acceleration Y axis.
accy_diff_std,base,accelerometer,y,temporal_difference,dynamic,not_applicable,standard deviation of first differences,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of first differences of the acceleration Y axis.
accy_jerk_rms,base,accelerometer,y,temporal_derivative,dynamic,not_applicable,jerk RMS,,not_encoded_in_source_manifest,,False,False,True,True,jerk RMS of the acceleration Y axis.
accy_jerk_std,base,accelerometer,y,temporal_derivative,dynamic,not_applicable,jerk standard deviation,,not_encoded_in_source_manifest,,False,False,True,True,jerk standard deviation of the acceleration Y axis.
accy_jerk_max,base,accelerometer,y,temporal_derivative,dynamic,not_applicable,jerk maximum,,not_encoded_in_source_manifest,,False,False,True,True,jerk maximum of the acceleration Y axis.
accz_mean,base,accelerometer,z,time,level_or_amplitude,not_applicable,mean,,not_encoded_in_source_manifest,,True,False,True,False,mean of the acceleration Z axis.
accz_std,base,accelerometer,z,time,variability,not_applicable,standard deviation,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of the acceleration Z axis.
accz_median,base,accelerometer,z,time,level_or_amplitude,not_applicable,median,,not_encoded_in_source_manifest,,True,False,True,False,median of the acceleration Z axis.
accz_iqr,base,accelerometer,z,time,variability,not_applicable,interquartile range,,not_encoded_in_source_manifest,,False,False,True,True,interquartile range of the acceleration Z axis.
accz_p95,base,accelerometer,z,time,level_or_amplitude,not_applicable,95th percentile,,not_encoded_in_source_manifest,,True,False,True,False,95th percentile of the acceleration Z axis.
accz_mad,base,accelerometer,z,time,variability,not_applicable,MAD statistic,,not_encoded_in_source_manifest,,False,False,True,True,MAD statistic of the acceleration Z axis.
accz_rms,base,accelerometer,z,time,level_or_amplitude,not_applicable,root mean square,,not_encoded_in_source_manifest,,False,False,True,True,root mean square of the acceleration Z axis.
accz_diff_mean,base,accelerometer,z,temporal_difference,dynamic,not_applicable,mean of first differences,,not_encoded_in_source_manifest,,False,False,True,True,mean of first differences of the acceleration Z axis.
accz_diff_std,base,accelerometer,z,temporal_difference,dynamic,not_applicable,standard deviation of first differences,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of first differences of the acceleration Z axis.
accz_jerk_rms,base,accelerometer,z,temporal_derivative,dynamic,not_applicable,jerk RMS,,not_encoded_in_source_manifest,,False,False,True,True,jerk RMS of the acceleration Z axis.
accz_jerk_std,base,accelerometer,z,temporal_derivative,dynamic,not_applicable,jerk standard deviation,,not_encoded_in_source_manifest,,False,False,True,True,jerk standard deviation of the acceleration Z axis.
accz_jerk_max,base,accelerometer,z,temporal_derivative,dynamic,not_applicable,jerk maximum,,not_encoded_in_source_manifest,,False,False,True,True,jerk maximum of the acceleration Z axis.
gyrx_mean,base,gyroscope,x,time,level_or_amplitude,not_applicable,mean,,not_encoded_in_source_manifest,,True,False,True,False,mean of the angular-rate X axis.
gyrx_std,base,gyroscope,x,time,variability,not_applicable,standard deviation,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of the angular-rate X axis.
gyrx_median,base,gyroscope,x,time,level_or_amplitude,not_applicable,median,,not_encoded_in_source_manifest,,True,False,True,False,median of the angular-rate X axis.
gyrx_iqr,base,gyroscope,x,time,variability,not_applicable,interquartile range,,not_encoded_in_source_manifest,,False,False,True,True,interquartile range of the angular-rate X axis.
gyrx_p95,base,gyroscope,x,time,level_or_amplitude,not_applicable,95th percentile,,not_encoded_in_source_manifest,,True,False,True,False,95th percentile of the angular-rate X axis.
gyrx_mad,base,gyroscope,x,time,variability,not_applicable,MAD statistic,,not_encoded_in_source_manifest,,False,False,True,True,MAD statistic of the angular-rate X axis.
gyrx_rms,base,gyroscope,x,time,level_or_amplitude,not_applicable,root mean square,,not_encoded_in_source_manifest,,False,False,True,True,root mean square of the angular-rate X axis.
gyrx_diff_mean,base,gyroscope,x,temporal_difference,dynamic,not_applicable,mean of first differences,,not_encoded_in_source_manifest,,False,False,True,True,mean of first differences of the angular-rate X axis.
gyrx_diff_std,base,gyroscope,x,temporal_difference,dynamic,not_applicable,standard deviation of first differences,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of first differences of the angular-rate X axis.
gyry_mean,base,gyroscope,y,time,level_or_amplitude,not_applicable,mean,,not_encoded_in_source_manifest,,True,False,True,False,mean of the angular-rate Y axis.
gyry_std,base,gyroscope,y,time,variability,not_applicable,standard deviation,,not_encoded_in_source_manifest,,False,False,True,True,standard deviation of the angular-rate Y axis.
gyry_median,base,gyroscope,y,time,level_or_amplitude,not_applicable,median,,not_encoded_in_source_manifest,,True,False,True,False,median of the angular-rate Y axis.
gyry_iqr,base,gyroscope,y,time,variability,not_applicable,interquartile range,,not_encoded_in_source_manifest,,False,False,True,True,interquartile range of the angular-rate Y axis.
